"Status","Name","Duration in ms","Description"
"passed","Dashboard Visual Regression.Volumes Card","2036",""
"passed","Dashboard Visual Regression.Blog Card","2024",""
"passed","Dashboard Visual Regression.Domains Card","1966",""
"passed","Dashboard Visual Regression.Linodes Card","2015",""
"failed","Dashboard Visual Regression.Back Up Your Data Card","12598",""
"passed","Dashboard Visual Regression.Dashboard Header","1852",""
"passed","Dashboard Visual Regression.Top Menu - Create Button, Search, Profile Avatar, Notification","2371",""
"passed","Dashboard Visual Regression.NodeBalancers Card","1854",""
"passed","Dashboard Visual Regression.Side Bar Navigation","2069",""
"passed","Dashboard Visual Regression.Import Display Groups as Tags Card","10372",""
"passed","Dashboard Visual Regression.Monthly Transer Card","1847",""
